DRY RUN Threads final schedule | 2026-08-20 to 2026-08-26
2026-08-20T07:00:00+09:00 | ENG-000006 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000006-question.png | pending | past_due_hold
2026-08-24T07:00:00+09:00 | ENG-000030 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000030-question.png | pending | scheduled
2026-08-24T09:30:00+09:00 | ENG-000031 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000031-question.png | pending | scheduled
2026-08-24T12:00:00+09:00 | ENG-000032 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000032-question.png | pending | scheduled
2026-08-24T15:00:00+09:00 | ENG-000033 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000033-question.png | pending | scheduled
2026-08-24T18:00:00+09:00 | ENG-000034 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000034-question.png | pending | scheduled
2026-08-24T20:30:00+09:00 | ENG-000035 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000035-question.png | pending | scheduled
2026-08-24T22:30:00+09:00 | ENG-100006 | normal | parent=yes | reply=no | asset=none | pending | scheduled
2026-08-25T07:00:00+09:00 | ENG-000036 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000036-question.png | pending | scheduled
2026-08-25T09:30:00+09:00 | ENG-000037 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000037-question.png | pending | scheduled
2026-08-25T12:00:00+09:00 | ENG-000038 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000038-question.png | pending | scheduled
2026-08-25T15:00:00+09:00 | ENG-000039 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000039-question.png | pending | scheduled
2026-08-25T18:00:00+09:00 | ENG-000040 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000040-question.png | pending | scheduled
2026-08-25T20:30:00+09:00 | ENG-000041 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000041-question.png | pending | scheduled
2026-08-25T22:30:00+09:00 | ENG-100007 | normal | parent=yes | reply=no | asset=none | pending | scheduled
2026-08-26T07:00:00+09:00 | ENG-000042 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000042-question.png | pending | scheduled
2026-08-26T09:30:00+09:00 | ENG-000043 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000043-question.png | pending | scheduled
2026-08-26T12:00:00+09:00 | ENG-000044 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000044-question.png | pending | scheduled
2026-08-26T15:00:00+09:00 | ENG-000045 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000045-question.png | pending | scheduled
2026-08-26T18:00:00+09:00 | ENG-000046 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000046-question.png | pending | scheduled
2026-08-26T20:30:00+09:00 | ENG-000047 | quiz | parent=yes | reply=yes | assets/question_images/ENG-000047-question.png | pending | scheduled
2026-08-26T22:30:00+09:00 | ENG-100008 | normal | parent=yes | reply=no | asset=none | pending | scheduled
